"Delete Block","Smazat blok"
"Delete File","Smazat soubor"
"Delete Folder","Smazat složku"
"Delete Page","Smazat stránku"
"Description","Popis"
"Design","Vzhled"
"Disabled","Neaktivní"
"Disabled Completely","Kompletně vypnuto"
"Disabled by Default","Ve výchozím stavu vypnuto"
"Edit Block","Upravit blok"
"Edit Block '%s'","Upravit blok '%s'"
"Edit Page","Upravit stránku"
"Edit Page '%s'","Upravit stránku '%s'"
"Enable WYSIWYG Editor","Povolit WYSIWYG editor"
"Enabled","Povoleno"
"Enabled by Default","Ve výchozím stavu zapnuto"
"Expand All","Rozbalit vše"
"General Information","Všeobecné informace"
"Go to Home Page","Na hlavní stránku"
"Home","Domů"
"ID","ID"
"Identifier","Identifikátor"
"If empty, the Page Title will be used","Pokud necháte prázdné, použije se nadpis stránky"
"Images (%s)","Obrázků (%s)"
"Insert File","Vložit soubor"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Neplatné jméno složky. Prosím používejte pouze alfanumerickou klávesnici, podtržítka a lomítka."
"Keywords","Klíčová slova"
"Last Modified","Naposledy změněno"
"Layout","Rozvržení"
"Layout Update XML","Aktualizovat rozvržení XML"
"Link to a CMS Page","Odkaz na stránku"
"Manage Pages","Správa stránek"
"Media Storage","Úložiště médií"
"Meta Data","Meta Data"
"Meta Description","Meta popis"
"Meta Keywords","Meta klíčová slova"
"New Block","Nový blok"
"New Folder Name:","Nové jméno složky:"
"New Page","Nová stránka"
"No files found","Soubory nenalezeny"
"Page Information","Informace o stránce"
"Page Layout","Rozvržení stránky"
"Page Status","Stav stránky"
"Page Title","Název stránky"
"Pages","Stránky"
"Product Tax Class Information","Informace o daňové kategorii produktu"
"Redirect to CMS-page if Cookies are Disabled","Přesměrovat na stránku pokud jsou vypnuté cookies"
"Relative to Website Base URL","Relativně k url hlavní stránky"
"Save Block","Uložit blok"
"Save Page","Uložit stránku"
"Save Process","Uložit stránku"
"Select Block...","Vyberte blok..."
"Select Page...","Vyberte stránku..."
"Show Breadcrumbs for CMS Pages","Ukázat navigaci pro CMS stránky"
"Show Notice if JavaScript is Disabled","Zobrazit upozornění, pokud je JavaScript vypnutý"
"Static Blocks","Statické bloky"
"Status","Stav"
"Storage Root","Kořen úložiště"
"Store View","Obchod Pohled"
"Template","Šablona"
"The block has been deleted.","Blok byl smazán."
"The block has been saved.","Blok byl uložen."
"The directory %s is not writable by server.","Server nemá práva zápisu do adresáře: %s."
"The page URL key cannot consist only of numbers.","URL klíč stránky nesmí obsahovat pouze číslice."
"The page URL key contains capital letters or disallowed symbols.","Klíč URL obsahuje velká písmena nebo jiné zakázané znaky."
"The page has been deleted.","Stránka byla smazána."
"The page has been saved.","Stránka byla uložena."
"This block no longer exists.","Tento blok již neexistuje."
"This page no longer exists.","Tato stránka již neexistuje."
"Title","Nadpis"
"URL Key","Klíč url"
"Unable to find a block to delete.","Nenalezen blok k smazání."
"Unable to find a page to delete.","Nenalezena stránka k smazání."
"WYSIWYG Options","Možnosti WYSIWYG"
"px.","px."
"Block was successfully deleted","Blok byl úspěšně smazán"
"Block was successfully saved","Blok byl úspěšně uložen"
"Error while saving Page. Please try again later.","Chyba při ukládání stránky. Prosím zkuste to později."
"Page was successfully deleted","Stránka byla úspěšně smazána"
"Page was successfully saved","Stránka byla úspěšně uložena"
"The page you are trying to save no longer exists","Stránka kterou zkoušíte uložit již déle neexistuje"
"This Block no longer exists","Tento blok již dlouho neexistuje"
